portfolio_asset_id,country,sub_region_name,development_status,property_type_code,asset_size_m2,en_abs,en_int_kwh_m2
616190,41,9,1,262,7952.310994,4370264.00487968,549.558990861528
616191,41,9,1,262,6526.157041,1822791.66437526,279.305516695925
616475,41,9,1,262,4591.5263884,2081386.5708616,453.310379772618
738102,41,9,1,262,16599.164816,10505872.548,632.915731873049
738115,41,9,1,262,17948.116376,13001733.1,724.406552065027
769381,41,9,1,262,4252.0,1057630.3336,248.737143367827
773553,41,9,1,262,47265.701892,11107884.36,235.009402491917
798564,41,9,1,262,130502.144742,24098619.12,184.660713183239
798663,41,9,1,262,5594.061242,1348224.61554791,241.009984914983
798705,41,9,1,262,54669.69938,11107884.36,203.18173478129
813613,41,9,1,262,7243.368201,1906082.9752152,263.148706833935
814381,41,9,1,262,22761.235,8248155.1,362.377309491335
834181,41,9,1,262,10147.051466,1285523.0,126.689315049543
870289,41,9,1,262,9977.7822,2287822.05,229.291640581211
870383,41,9,1,262,9501.004004,1906738.34,200.688089300588
890879,41,9,1,262,332008.38013,78741637.018,237.167619043737
893190,41,9,1,262,31899.75472375,6967826.58,218.428844997116
898387,41,9,1,262,5306.898069,1105450.6,208.304471958382
898391,41,9,1,262,5285.437476,2089366.77,395.306307091391
898400,41,9,1,262,950.955108,292806.02,307.907300288669
898404,41,9,1,262,7264.642988,2251373.78,309.90838554887
898405,41,9,1,262,5101.30373,802945.6,157.400077019135
898412,41,9,1,262,7816.486808,2944840.27,376.747296110834
898429,41,9,1,262,2753.366211,981842.28,356.597054208566
898433,41,9,1,262,4951.358288,1554558.51,313.966071445
898435,41,9,1,262,2443.40557083,1559414.18,638.213401253024
898450,41,9,1,262,11845.597015,1594374.88,134.596414007758
905050,41,9,1,262,23958.011446,2730639.0,111.926818552702
905056,41,9,1,262,35748.238273,5213462.0,145.838291671498
905095,41,9,1,262,1507.444078,580098.0,384.822235508494
905109,41,9,1,262,79947.67665,11943506.0,149.391533318561
915267,41,9,1,262,132087.813146,56944257.2,396.309214856475
953959,41,9,1,262,132087.813146,56944257.2,396.309214856475
721245,41,9,1,222,6483.886176,1964730.3,303.01739522702
798417,41,9,1,222,28383.538754,2163002.27,76.2062225132226
893197,41,9,1,222,10844.68331875,1887470.0,174.04565394147
893198,41,9,1,222,6503.674515,1684630.42,259.027479944543
893210,41,9,1,222,7870.16151625,735480.0,93.4517034347275
893211,41,9,1,222,14753.11252875,2174280.0,147.377714076463
893212,41,9,1,222,10220.9558025,1166053.002,114.084536175647
893213,41,9,1,222,1675.7378625,730882.908,436.155871604888
955034,41,9,1,222,10827.937553,2249920.06,207.788422216808
224255,41,9,1,241,53843.9247099348,4558307.68,84.657790169574
274808,41,9,1,241,8918.92621282051,2386187.3657085,267.54200099542
274810,41,9,1,241,14578.8628282051,814415.487725333,55.8627581123623
274825,41,9,1,241,7474.40366923077,1761933.94332,235.729032213392
274826,41,9,1,241,4640.02842435897,995989.25158,214.651541001626
274827,41,9,1,241,11680.6465474359,2893513.05416,247.718569550859
274828,41,9,1,241,4622.7579948718,1273663.06798,275.520169862433
274829,41,9,1,241,6415.7858948718,1345257.62809,209.67932068389
302121,41,9,1,241,6913.190939,1068711.31,154.590162405465
302125,41,9,1,241,5745.493132,1524656.62,265.365667484362
302211,41,9,1,241,4430.451167,689494.94,155.62634910315
302213,41,9,1,241,11160.251584,3079147.51,275.903055305173
302214,41,9,1,241,5442.350643,987962.96,181.532397452326
339786,41,9,1,241,67585.817664,7528063.812,111.385259100148
349979,41,9,1,241,9330.805708,2435686.41520941,261.037094912513
387683,41,9,1,241,6543.994417,1526413.0,233.25401929358
387689,41,9,1,241,32015.953151,1722106.0,53.7889967503969
417500,41,9,1,241,7725.256062,1658747.75,214.717510550785
561016,41,9,1,241,6207.406848,488432.0,78.685353153124
561018,41,9,1,241,5554.112952,443569.0,79.863157957613
561019,41,9,1,241,3052.79258,352631.0,115.510959476978
561020,41,9,1,241,7486.959867,419912.0,56.0857821411373
561021,41,9,1,241,3626.561508,487061.0,134.303802355363
561023,41,9,1,241,6241.595152,533583.0,85.4882425094527
561024,41,9,1,241,5025.680688,520080.0,103.484489422859
561025,41,9,1,241,7486.959867,421017.0,56.2333720868067
561026,41,9,1,241,2784.117104,208238.0,74.7949860660746
561028,41,9,1,241,2839.11568,214007.0,75.3780487028271
561030,41,9,1,241,6913.469648,687676.5984,99.4690992241411
561031,41,9,1,241,6148.041831,412318.413635396,67.0649980870951
561032,41,9,1,241,3716.12,583064.462755215,156.901408661511
561034,41,9,1,241,5782.28272,370098.0,64.005517876165
561038,41,9,1,241,9287.141298,1522173.610362,163.90120075914
561040,41,9,1,241,7700.172252,456018.0,59.2217920685549
561041,41,9,1,241,12840.681048,1283114.47493333,99.9257337003308
561042,41,9,1,241,5585.699972,440433.0,78.8500997561277
561045,41,9,1,241,13540.054832,1318326.3092,97.3649165795343
561046,41,9,1,241,10014.9434,550916.0,55.0093972573025
561052,41,9,1,241,13540.054832,1362282.5584,100.611302930653
561053,41,9,1,241,7700.172252,424665.0,55.1500649728582
561054,41,9,1,241,12840.681048,1234986.47493333,96.1776458987499
561055,41,9,1,241,7674.531024,587646.0,76.5709328898792
561056,41,9,1,241,7700.172252,441087.0,57.2827445367127
561069,41,9,1,241,6353.450364,591659.0,93.1240453773694
561074,41,9,1,241,2934.619964,721720.0,245.933036936158
561075,41,9,1,241,4593.403029,276869.0,60.2753553851066
561079,41,9,1,241,6053.55948,573889.0,94.8019098343773
561082,41,9,1,241,6150.550212,549508.0,89.3429012135996
561084,41,9,1,241,6664.86122,998330.857354475,149.79019433423
561088,41,9,1,241,7454.908332,801863.0,107.561751840465
561091,41,9,1,241,5323.899318,400206.0,75.1715943701098
561092,41,9,1,241,22458.649929,5064006.396,225.481336233886
561093,41,9,1,241,7314.810608,992359.141083943,135.664365663634
561094,41,9,1,241,5893.394708,570454.0,96.7954851599599
561097,41,9,1,241,5172.83904,429014.383585151,82.935962296084
561106,41,9,1,241,5809.410396,394575.5808,67.920073450428
561107,41,9,1,241,3796.573998,787610.9646,207.453078753346
561111,41,9,1,241,4920.328686,480261.0,97.6075036138348
561122,41,9,1,241,13155.529315,715113.0,54.358360114376
561126,41,9,1,241,7294.371948,511987.0,70.1893190599334
561131,41,9,1,241,9810.5568,2266490.689248,231.025693592437
561137,41,9,1,241,12019.604334,2337870.92559,194.504815684892
561140,41,9,1,241,17413.73832,3234256.96474521,185.730192179964
561156,41,9,1,241,7085.897616,1362212.89358777,192.242813459777
561160,41,9,1,241,9565.850298,1520297.467,158.929673749741
561166,41,9,1,241,7428.52388,701998.658870561,94.5004243387532
561167,41,9,1,241,4438.998243,533400.448666475,120.162347328614
561175,41,9,1,241,17208.051078,2150493.4098,124.970189828722
561179,41,9,1,241,12386.664087,1443349.87563292,116.524502924701
561197,41,9,1,241,5445.230636,423652.0,77.8023977899327
561198,41,9,1,241,6967.725,1104681.08476338,158.542578067214
561202,41,9,1,241,9847.718,1321371.2868,134.180455492328
561207,41,9,1,241,12840.681048,1236547.47493333,96.2992126594353
561208,41,9,1,241,13342.357248,4516132.866,338.480883254491
561210,41,9,1,241,3855.102888,509658.402,132.203579724537
561212,41,9,1,241,2736.364962,677158.715592806,247.466520364255
561217,41,9,1,241,6095.923248,1102383.8308,180.839519454527
561221,41,9,1,241,3942.060096,387972.0,98.4185909275392
561262,41,9,1,241,7535.455233,731483.452912115,97.0722312447338
563717,41,9,1,241,2429.599256,405545.856699,166.91882650914
563801,41,9,1,241,1690.091376,1713410.294067,1013.79743036272
586982,41,9,1,241,12514.777324,3498737.2,279.568474086259
587040,41,9,1,241,3661.40106203,506404.43,138.3089209351
587042,41,9,1,241,2440.93435103,524345.72,214.81352817979
587054,41,9,1,241,9613.73993644,821174.94,85.4168040147843
603225,41,9,1,241,9129.206198,1343652.38,147.181731999258
607032,41,9,1,241,9269.675534,1483072.787922,159.99187700608
615135,41,9,1,241,12514.777324,3498737.2,279.568474086259
615196,41,9,1,241,6775.601596,881723.11,130.132077204853
615225,41,9,1,241,4406.667999,618628.05,140.38453773699
615230,41,9,1,241,3661.40106203,506404.43,138.3089209351
615232,41,9,1,241,2440.93435103,524345.72,214.81352817979
615244,41,9,1,241,9613.73993644,821174.94,85.4168040147843
615306,41,9,1,241,32571.420188,5958819.35,182.946255201834
615312,41,9,1,241,18432.88423,3891209.13,211.101479369515
615332,41,9,1,241,15399.415474,1289961.29,83.7668996058934
615354,41,9,1,241,12574.42105,3399810.68,270.375126336333
615357,41,9,1,241,17347.219772,2567700.15,148.017963901311
615384,41,9,1,241,13487.750443,1078534.39,79.9639935924043
629351,41,9,1,241,12928.102771,4112517.83717747,318.106833618508
629352,41,9,1,241,12915.096351,3872284.24155934,299.826198451823
629353,41,9,1,241,12852.758438,3901554.94803149,303.557790092459
629406,41,9,1,241,17305.877937,3501669.01808885,202.339865728642
644189,41,9,1,241,12493.59544,3112740.42768,249.14688831
644193,41,9,1,241,12752.423198,4793020.51545,375.85174527471
644195,41,9,1,241,19422.858598,2034542.56948,104.749903790655
644210,41,9,1,241,6614.6936,1744229.4475,263.690134868832
644240,41,9,1,241,5969.575168,2842481.51991,476.161441964441
644289,41,9,1,241,20131.15107,7074708.07432,351.430876938921
644311,41,9,1,241,6033.399529,1807392.46319,299.5645248591
644325,41,9,1,241,6005.621532,1960044.99636,326.368384340607
644331,41,9,1,241,13163.42607,5026844.31226,381.879632667698
670620,41,9,1,241,2229.672,461092.8000289,206.798488759288
670621,41,9,1,241,1860.010963,672162.48893318,361.375552243549
670622,41,9,1,241,1426.99008,267636.91112888,187.553448955216
670623,41,9,1,241,1399.862404,375425.6444689,268.187532857622
670624,41,9,1,241,3777.807592,516502.3333639,136.720126895203
670625,41,9,1,241,2999.652064,455805.11114042,151.952660313746
670626,41,9,1,241,2972.896,368904.67780098,124.089331682299
670627,41,9,1,241,1719.820336,405249.40672,235.634733603941
670628,41,9,1,241,2971.781164,509202.4222574,171.345867732743
670629,41,9,1,241,2081.0272,378646.34446902,181.951655638629
670635,41,9,1,241,7538.521032,1463038.84448494,194.075049770975
670636,41,9,1,241,7086.455034,1394593.55558884,196.797065514103
670644,41,9,1,241,6755.90616,1427511.63335662,211.298321727521
670645,41,9,1,241,6755.90616,1299711.62114,192.381538517403
670665,41,9,1,241,7023.4668,785420.6,111.828050500644
670666,41,9,1,241,2702.362464,277195.9,102.575396044281
670667,41,9,1,241,2702.362464,335850.0,124.280145418716
670668,41,9,1,241,2702.362464,291138.0,107.734622530636
670669,41,9,1,241,2702.362464,317084.7,117.336110245794
670670,41,9,1,241,6363.8555,1343136.40008798,211.057023543036
670673,41,9,1,241,4942.4396,1067574.21117824,216.001468420219
670674,41,9,1,241,5202.568,1284006.21119282,246.80238897268
670675,41,9,1,241,16447.0,2886137.14454152,175.481069164074
670676,41,9,1,241,5853.0,1023181.65558744,174.813199314444
670677,41,9,1,241,13146.0,2694496.57787106,204.967030113423
670678,41,9,1,241,4515.0858,843791.40005032,186.882694466254
670682,41,9,1,241,6689.016,1167679.8778438,174.566764056746
670684,41,9,1,241,2489.8004,488098.558752,196.039232201907
670685,41,9,1,241,1421.4159,256458.6777929,180.424798817081
670686,41,9,1,241,6694.59018,968270.98894672,144.634841403648
670687,41,9,1,241,8126.039604,1543150.82231122,189.90195685874
670688,41,9,1,241,6665.79025,1027469.283646,154.140656262924
670689,41,9,1,241,5007.4717,783046.659876,156.375653581028
670691,41,9,1,241,7511.20755,1063375.472524,141.571839873337
670694,41,9,1,241,7050.037058,1020136.81115704,144.699496295476
670700,41,9,1,241,2787.09,321464.44446316,115.3405324059
670701,41,9,1,241,11612.875,1643925.90008134,141.560629911313
670716,41,9,1,241,1208.0,176133.80001036,145.806125836391
670717,41,9,1,241,906.0,212888.35556828,234.976109898764
670718,41,9,1,241,978.0,211109.5777901,215.858463998057
670719,41,9,1,241,978.0,248349.92223688,253.936525804581
670721,41,9,1,241,978.0,225667.0889015,230.74344468456
670722,41,9,1,241,978.0,226830.02223566,231.932538073272
702085,41,9,1,241,2773.247453,820049.533,295.700094166822
702087,41,9,1,241,2208.30431,524973.492,237.726969794303
702088,41,9,1,241,3776.228241,1036258.3605,274.416241383117
702090,41,9,1,241,2277.145433,577913.275,253.78847860351
702094,41,9,1,241,5863.665748,1268990.6175,216.415920012636
702095,41,9,1,241,6181.858523,1966726.856,318.144915268227
702097,41,9,1,241,3576.486791,1450809.154,405.652037538869
702098,41,9,1,241,5568.420014,1889260.8915,339.281319790903
702100,41,9,1,241,7215.961816,1597559.56,221.392463088943
702101,41,9,1,241,13216.752392,1898466.9,143.640952307552
702102,41,9,1,241,6467.256539,252969.42,39.1154144689481
702105,41,9,1,241,9758.345314,2447538.6495,250.814925148077
738259,41,9,1,241,4531.80834,1028444.55,226.939109697653
738264,41,9,1,241,4578.25984,887527.87,193.857033243443
738266,41,9,1,241,7599.4654,1334597.45,175.61728092084
738268,41,9,1,241,4422.1828,1043536.16,235.977617207502
738269,41,9,1,241,3641.7976,803697.91,220.687143623797
738277,41,9,1,241,3901.926,830970.01,212.964061850481
738280,41,9,1,241,10172.321082,990447.49,97.366911840072
738281,41,9,1,241,4869.696551,519175.48,106.613517816297
738283,41,9,1,241,3357.328614,441193.73,131.412137662137
738284,41,9,1,241,3483.8625,421011.99,120.84632789038
738285,41,9,1,241,3901.926,857656.8722432,219.803469425919
738286,41,9,1,241,3901.926,802972.51,205.788759192255
738287,41,9,1,241,7148.607141,1058732.84,148.103374422097
738288,41,9,1,241,3483.8625,414618.0,119.011011485097
738289,41,9,1,241,3692.89425,454723.33,123.134674110963
738317,41,9,1,241,4653.45371946903,1143310.56,245.690755495566
738318,41,9,1,241,4571.81418053097,623046.0,136.27981702608
738329,41,9,1,241,5267.6001,1108540.5,210.445075357941
738332,41,9,1,241,6230.353889,1329585.510751,213.40449265626
738336,41,9,1,241,2341.1556,831068.11,354.982005467727
738337,41,9,1,241,2341.1556,716274.58,305.94915604926
738338,41,9,1,241,2341.1556,651629.7650841,278.336803023302
738342,41,9,1,241,5124.52948,1397695.339586,272.746082355643
738374,41,9,1,241,4652.58224,734100.03881205,157.783355767624
738379,41,9,1,241,4652.58224,723897.674,155.590516547215
738380,41,9,1,241,4652.58224,794359.60931688,170.735210758334
738382,41,9,1,241,11304.994458,2562702.73715,226.687659748165
738387,41,9,1,241,4764.06584,1200534.8747617,251.997960372794
738400,41,9,1,241,4851.39466,1169308.0975758,241.025144216117
738422,41,9,1,241,3606.029945,995205.3394656,275.983659216563
738426,41,9,1,241,2601.284,1880161.08948,722.781937489332
773559,41,9,1,241,17347.219772,2567700.15,148.017963901311
774058,41,9,1,241,8918.92621282051,2386187.3657085,267.54200099542
774060,41,9,1,241,14578.8628282051,814415.487725333,55.8627581123623
774067,41,9,1,241,7474.40366923077,1761933.94332,235.729032213392
774068,41,9,1,241,4640.02842435897,995989.25158,214.651541001626
774069,41,9,1,241,11680.6465474359,2893513.05416,247.718569550859
774070,41,9,1,241,4622.7579948718,1273663.06798,275.520169862433
774071,41,9,1,241,6415.7858948718,1345257.62809,209.67932068389
774197,41,9,1,241,15091.16332,2974208.57715987,197.082790378275
774198,41,9,1,241,13292.654143,2497968.22646006,187.920952398773
774199,41,9,1,241,15836.524089,2753255.33237197,173.854775006112
774200,41,9,1,241,16625.92088,3417689.44071897,205.563918256717
774201,41,9,1,241,14316.3523,2533980.82863211,176.99905503388
774202,41,9,1,241,16611.98543,3670089.19551899,220.930195910904
774203,41,9,1,241,17140.231888,2851848.9986019,166.383338174001
774204,41,9,1,241,14886.77672,2737660.77700086,183.898827025657
774205,41,9,1,241,14675.422395,3716805.46697009,253.267358644234
774210,41,9,1,241,14828.24783,2977676.44328109,200.8110787882
774211,41,9,1,241,13292.654143,3206304.57924102,241.208756712404
790222,41,9,1,241,12067.0963476,2609461.80070201,216.246040102349
790225,41,9,1,241,6997.1566704,1843884.24314208,263.519073532002
790226,41,9,1,241,4326.9014832,1278008.1206627,295.363350800754
803630,41,9,1,241,5705.916454,1741868.28899116,305.274061236923
813408,41,9,1,241,9269.675534,1483072.787922,159.99187700608
870137,41,9,1,241,3980.521938,740613.27,186.05933632214
870145,41,9,1,241,10654.487652,1798472.61,168.799539568888
870147,41,9,1,241,10791.055062,3116675.91,288.820313870436
870149,41,9,1,241,19699.895344,1441826.02,73.1895268894988
870205,41,9,1,241,13630.72816,2816045.62,206.59539145266
870206,41,9,1,241,12388.057632,2753334.01,222.257119864197
870209,41,9,1,241,11018.388703,2217405.07,201.245856337984
870210,41,9,1,241,11026.842876,2324167.49,210.773610918005
870223,41,9,1,241,8450.45688,1243241.24,147.121186186089
